PaymentDate,VendorName,PaymentAmount,Fund,FundDescription,Center,CenterName,Account,AccountName,FiscalYear,AccountingPeriod
10/24/2017 0:00,LOFTIN EQUIPMENT COMPANY INC                 ,147,600,WATER,29275,BOOSTER STATIONS                   ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/24/2017 0:00,MACHEREY NAGEL INC                           ,379.88,603,WATER RECLAMATION,29470,WATER RECLAMATION LABORATORY       ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,4
10/24/2017 0:00,MATHESON TRI GAS INC                         ,144.77,600,WATER,29460,WATER LABORATORY                   ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,4
10/24/2017 0:00,MCCORMICK RANCH POA INC                      ,8805,200,TRANSPORTATION,25480,MEDIANS & ROW CONTRACTS-TRANSP FUND,52187,HOA R-O-W MEDIAN MAINTENANCE       ,2018,4
10/24/2017 0:00,PINNACLE PEAK ACE HARDWARE                   ,553.95,100,GENERAL,20904,BUILDING MAINTENANCE AND REPAIR    ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,4
10/24/2017 0:00,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM    ,140,100,GENERAL,22219,TRAINING                           ,52245,TRAINING/BUSINESS CONFERENCE       ,2018,4
10/24/2017 0:00,RECORDED BOOKS INC                           ,64.6,100,GENERAL,25602,LIBRARY OPERATIONS                 ,53600,LIBRARY MATERIALS                  ,2018,4
10/24/2017 0:00,ROMAN NAVARRO                                ,198,100,GENERAL,25451,LEISURE EDUCATION PROGRAMS         ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/24/2017 0:00,SAFELITE AUTOGLASS                           ,675.45,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/24/2017 0:00,SCOTT SAFETY                                 ,927.09,100,GENERAL,22035,FIRE RESOURCE MANAGEMENT           ,52890,OTHER CONTRACTUAL SERVICES         ,2018,4
10/24/2017 0:00,SCOTTSDALE COMMUNITY PARTNERS                ,5535,280,SPECIAL PROGRAMS,25391,SCOTTSDALE CARES GRANTS            ,52825,GRANTS AND SUBSIDIES               ,2018,4
10/24/2017 0:00,SCOTTSDALE TRAINING & REHABILITATION SERVICES,377.6,100,GENERAL,22035,FIRE RESOURCE MANAGEMENT           ,52890,OTHER CONTRACTUAL SERVICES         ,2018,4
10/24/2017 0:00,SCOTTYS LAWNMOWER INC                        ,21.48,200,TRANSPORTATION,20810,GRADING AND DRAINAGE               ,53790,"MAT TO MAINT & REPAIR MACH, EQUIP  ",2018,4
10/24/2017 0:00,SOMERSET LANDSCAPE                           ,3224.08,200,TRANSPORTATION,25480,MEDIANS & ROW CONTRACTS-TRANSP FUND,52323,LANDSCAPING                        ,2018,4
10/24/2017 0:00,SOMERSET LANDSCAPE LLC                       ,5690,100,GENERAL,25402,DOWNTOWN SCOTTSDALE                ,52323,LANDSCAPING                        ,2018,4
10/24/2017 0:00,SOMERSET LANDSCAPE LLC                       ,3400,100,GENERAL,25420,LANDSCAPE CONTRACTS                ,52323,LANDSCAPING                        ,2018,4
10/24/2017 0:00,SOMERSET LANDSCAPE LLC                       ,332.72,200,TRANSPORTATION,25480,MEDIANS & ROW CONTRACTS-TRANSP FUND,52186,R-O-W MEDIAN MAINTENANCE           ,2018,4
10/24/2017 0:00,SOMERSET LANDSCAPE LLC                       ,13371.47,200,TRANSPORTATION,25480,MEDIANS & ROW CONTRACTS-TRANSP FUND,52323,LANDSCAPING                        ,2018,4
10/24/2017 0:00,SOUTHWEST AVIAN SOLUTIONS LLC                ,222.75,100,GENERAL,20902,CONTRACT ADMINISTRATION            ,52330,"MAINTENANCE, BUILDINGS & STRUCTURE ",2018,4
10/24/2017 0:00,STOTZ EQUIPMENT                              ,944.54,100,GENERAL,25426,MAINTENANCE-SCOTTSDALESPORTSCOMPLEX,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/24/2017 0:00,SUN DEVIL TROPHY & AWARDS LLC                ,7.57,100,GENERAL,22432,SPECIAL INVESTGATIONS              ,53090,OTHER OPERATING SUPPLIES           ,2018,4
10/24/2017 0:00,SUNLAND SPORTS                               ,124016.64,400,CIP GENERAL,YE01A,FACILITIES RPR AND MAINT PGM       ,56082,CONT - BUILDINGS                   ,2018,4
10/24/2017 0:00,TDINDUSTRIES INC                             ,3785.41,600,WATER,29221,CAP TREATMENT PLANT                ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/24/2017 0:00,TDINDUSTRIES INC                             ,1682.67,600,WATER,29275,BOOSTER STATIONS                   ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/24/2017 0:00,TDINDUSTRIES INC                             ,1173.47,600,WATER,29280,WELL SITES                         ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/24/2017 0:00,TDINDUSTRIES INC                             ,285.66,603,WATER RECLAMATION,29321,SEWER SYSTEM                       ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/24/2017 0:00,TDINDUSTRIES INC                             ,1051.52,603,WATER RECLAMATION,29380,WATER CAMPUS WATER RECLAMATION PLNT,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/24/2017 0:00,TDINDUSTRIES INC                             ,1442.07,607,IRRIGATION WATER DISTRIBUTION SYSTEM,29603,IRRIGATION WATER DISTRIBUTION SYSM ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/24/2017 0:00,TEL TECH NETWORKS INC                        ,380,400,CIP GENERAL,YE07A,IT - NETWORK INFRASTRUCTURE        ,56030,BLDG - BLDG MAINTENANCE & REPAIRS  ,2018,4
10/24/2017 0:00,THATCHER COMPANY OF ARIZONA                  ,2641.15,600,WATER,29221,CAP TREATMENT PLANT                ,53051,TREATMENT CHEMICAL(NON-TAXABLE)    ,2018,4
10/24/2017 0:00,THE ICEE COMPANY                             ,440.16,280,SPECIAL PROGRAMS,25494,MCCORMICK RR PK/REV FACILITIES OPER,53101,FOOD PURCHASED FOR RESALE          ,2018,4
10/24/2017 0:00,THE S J ANDERSON COMPANY                     ,35500,100,GENERAL,2090A,FACILITIES MGMT REPAIR & MAINT     ,54260,CONTRACTUAL CONSTRUCTION-OTHER     ,2018,4
10/24/2017 0:00,TYR TACTICAL LLC                             ,14750,280,SPECIAL PROGRAMS,22301,FEDERAL FORFEITURES                ,53050,CLOTHING & PERSONAL PROTECT EQUIP  ,2018,4
10/24/2017 0:00,ULTRA SCIENTIFIC INC                         ,466.26,600,WATER,29460,WATER LABORATORY                   ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,4
10/24/2017 0:00,UNITED FIRE                                  ,3205.05,100,GENERAL,22035,FIRE RESOURCE MANAGEMENT           ,53050,CLOTHING & PERSONAL PROTECT EQUIP  ,2018,4
10/24/2017 0:00,UPCHURCH CANDY COMPANY                       ,363.65,280,SPECIAL PROGRAMS,25494,MCCORMICK RR PK/REV FACILITIES OPER,53101,FOOD PURCHASED FOR RESALE          ,2018,4
10/24/2017 0:00,VIGILANT SOLUTIONS INC                       ,25620,280,SPECIAL PROGRAMS,22302,STATE FORFEITURES                  ,52350,SOFTWARE MAINT & LICENSING         ,2018,4
10/24/2017 0:00,VULCAN MATERIALS COMPANY                     ,459.22,200,TRANSPORTATION,20810,GRADING AND DRAINAGE               ,53740,STREET MAINTENANCE MATERIALS       ,2018,4
10/24/2017 0:00,VULCAN MATERIALS COMPANY                     ,800,600,WATER,29201,WATER DISTRIBUTION                 ,52870,LANDFILL CONTRACT                  ,2018,4
10/24/2017 0:00,WASTE MANAGEMENT OF ARIZONA                  ,197.57,200,TRANSPORTATION,20810,GRADING AND DRAINAGE               ,52390,MISC MAINTENANCE AND REPAIR        ,2018,4
10/24/2017 0:00,WILSON ENGINEERS                             ,7595,602,CIP WATER,WB77B,WATER DISTRIBUTION SYSTEM IMPROV   ,56053,DSGN - WATER - DISTRIBUTION SYSTEM ,2018,4
10/24/2017 0:00,WW WILLIAMS                                  ,2600.01,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,ACE UNIFORMS OF PHOENIX                      ,677.46,100,GENERAL,22607,RESOURCE MANAGEMENT                ,53050,CLOTHING & PERSONAL PROTECT EQUIP  ,2018,4
10/25/2017 0:00,AIMS PVIC                                    ,22274.11,603,WATER RECLAMATION,29321,SEWER SYSTEM                       ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,AIMS PVIC                                    ,600,605,CIP WATER RECLAMATION,VB70A,MASTER PLAN WATER RECLAMATION      ,56099,CONT - WWATER - COLLECTION SYSTEM  ,2018,4
10/25/2017 0:00,AQUA SERV ENGINEERS INC                      ,2999.22,100,GENERAL,20902,CONTRACT ADMINISTRATION            ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,AQUA SERV ENGINEERS INC                      ,310,100,GENERAL,20910,WESTWORLD TNEC EXPANSION           ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,ARIZONA BLUE STAKE INC                       ,235.53,200,TRANSPORTATION,20805,INTELLIGENT TRANSPORTATION SYS     ,52890,OTHER CONTRACTUAL SERVICES         ,2018,4
10/25/2017 0:00,ARIZONA BLUE STAKE INC                       ,906.51,200,TRANSPORTATION,20860,TRAFFIC SIGNALS                    ,52890,OTHER CONTRACTUAL SERVICES         ,2018,4
10/25/2017 0:00,ARIZONA BLUE STAKE INC                       ,2376.91,600,WATER,29201,WATER DISTRIBUTION                 ,52890,OTHER CONTRACTUAL SERVICES         ,2018,4
10/25/2017 0:00,ARTISTIC LAND MANAGEMENT INC                 ,4362.03,600,WATER,29275,BOOSTER STATIONS                   ,52323,LANDSCAPING                        ,2018,4
10/25/2017 0:00,ARTISTIC LAND MANAGEMENT INC                 ,966.26,600,WATER,29280,WELL SITES                         ,52323,LANDSCAPING                        ,2018,4
10/25/2017 0:00,ARTISTIC LAND MANAGEMENT INC                 ,1326.27,603,WATER RECLAMATION,29321,SEWER SYSTEM                       ,52323,LANDSCAPING                        ,2018,4
10/25/2017 0:00,AVOCETTE TECHNOLOGIES INC                    ,18720,400,CIP GENERAL,JD04A,LICENSE AND PERMIT MANAGEMENT SYS  ,56156,IT - IMPLEMENTATION                ,2018,4
10/25/2017 0:00,AZ CUSTOM BOTTLED WATER                      ,1733.13,100,GENERAL,22035,FIRE RESOURCE MANAGEMENT           ,53090,OTHER OPERATING SUPPLIES           ,2018,4
10/25/2017 0:00,AZ LERMA                                     ,100,280,SPECIAL PROGRAMS,22302,STATE FORFEITURES                  ,52245,TRAINING/BUSINESS CONFERENCE       ,2018,4
10/25/2017 0:00,BILLTRUST                                    ,11429.75,600,WATER,23562,UTILITY BILLING - WATER            ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,CANON SOLUTIONS AMERICA                      ,504.57,100,GENERAL,21220,PERMIT SERVICES - ONE STOP SHOP    ,52340,"MAINTENANCE, OFF EQUIP & FURNITURE ",2018,4
10/25/2017 0:00,CHARLES ASHLEY COUCH                         ,77.75,100,GENERAL,21205,STORMWATER MANAGEMENT              ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,4
10/25/2017 0:00,CHARLES D BROWN                              ,202.75,100,GENERAL,27501,NETWORK OPERATIONS                 ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,4
10/25/2017 0:00,CHICAGO TITLE AGENCY INC                     ,68702.82,400,CIP GENERAL,PE04A,INDIAN BEND PROPERTIES PARCELS *02/,56002,LAND - RIGHT OF WAY(IN-FEE)ACQ     ,2018,4
10/25/2017 0:00,CHICAGO TITLE AGENCY INC                     ,50000,424,CIP SILVERADO GOLF COURSE,PE04B,INDIAN BEND PROPERTIES PARCELS *02/,56002,LAND - RIGHT OF WAY(IN-FEE)ACQ     ,2018,4
10/25/2017 0:00,CINTAS FIRST AID AND SAFETY                  ,85.26,100,GENERAL,27210,STORES *06/18                      ,53025,FURNITURE & MINOR EQUIPMENT        ,2018,4
10/25/2017 0:00,CITY OF PHOENIX                              ,11971.99,603,WATER RECLAMATION,29303,WATER RECLAMATION SERVICES ADMIN   ,52714,SEWER                              ,2018,4
10/25/2017 0:00,CLOSED CAPTION PRODUCTIONS LLC               ,805,100,GENERAL,27310,CITYCABLE 11                       ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,COBBLESTONE AUTO SPA & MARKET                ,137.85,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,CULLIGAN WATER                               ,272.03,280,SPECIAL PROGRAMS,25494,MCCORMICK RR PK/REV FACILITIES OPER,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,CUMMINS ROCKY MOUNTAIN LLC                   ,1129.8,603,WATER RECLAMATION,29321,SEWER SYSTEM                       ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,CUMMINS ROCKY MOUNTAIN LLC                   ,2318.04,603,WATER RECLAMATION,29321,SEWER SYSTEM                       ,53794,MAT TO MAINT AND REPAIR MECH SYS   ,2018,4
10/25/2017 0:00,DAVID A PENNARTZ PLC                         ,922.5,100,GENERAL,25303,PAIUTE NEIGHBORHOOD CENTER         ,52140,LEGAL SERVICES - ATTORNEYS         ,2018,4
10/25/2017 0:00,DBA CONSTRUCTION                             ,53493.25,602,CIP WATER,WB73A,CAMPUS/CAP DRNG & PVNG IMP (WATER) ,56091,CONT - WATER - TREATMENT FACILITY  ,2018,4
10/25/2017 0:00,DBA CONSTRUCTION                             ,235123.76,605,CIP WATER RECLAMATION,VB62B,WASTEWATER COLLECTION SYSTEM IMPROV,56105,CONT - WWATER - OTHER              ,2018,4
10/25/2017 0:00,DBA CONSTRUCTION                             ,226543.14,605,CIP WATER RECLAMATION,VB68A,CAMPUS/CAP DRNG & PVNG IMP (WWATER),56098,CONT - WWATER - TREATMENT FACILITY ,2018,4
10/25/2017 0:00,DESERT ARCHAEOLOGY INC                       ,189.16,100,GENERAL,21822,NEIGHBORHOOD PLANNING              ,52130,CONSULTANTS                        ,2018,4
10/25/2017 0:00,DP AIR CORP                                  ,502.32,100,GENERAL,27501,NETWORK OPERATIONS                 ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,EAST VALLEY SPORTS OFFICIALS                 ,5040,100,GENERAL,25455,ADULT SPORTS PROGRAMS              ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,ELISA BRANCATI                               ,430,100,GENERAL,25456,CLUB SAR FITNESS CENTER            ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,FIRST LEGAL NETWORK LLC                      ,786,100,GENERAL,1050,CIVIL DIVISION                     ,52170,COURT REPORTERS/TRANSCRIPTION SERV ,2018,4
10/25/2017 0:00,GOPHER COURIER EXPRESS                       ,449.36,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,GRAINGER                                     ,430.94,100,GENERAL,25420,LANDSCAPE CONTRACTS                ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,4
10/25/2017 0:00,GREGORY MASTIN                               ,92.63,100,GENERAL,22219,TRAINING                           ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,4
10/25/2017 0:00,HERNANDEZ COMPANIES                          ,1376.28,600,WATER,29201,WATER DISTRIBUTION                 ,52820,DAMAGE CLAIMS                      ,2018,4
10/25/2017 0:00,INTEGRATED LANDSCAPE MANAGEMENT              ,1182,100,GENERAL,25401,CIVIC CENTER COMPLEX               ,52322,"MAINTENANCE, MOWING                ",2018,4
10/25/2017 0:00,INTEGRATED LANDSCAPE MANAGEMENT              ,222.08,100,GENERAL,25404,PROFESSIONAL BASEBALL              ,52322,"MAINTENANCE, MOWING                ",2018,4
10/25/2017 0:00,INTEGRATED LANDSCAPE MANAGEMENT              ,288.92,100,GENERAL,25420,LANDSCAPE CONTRACTS                ,52322,"MAINTENANCE, MOWING                ",2018,4
10/25/2017 0:00,INTEGRATED LANDSCAPE MANAGEMENT              ,2599.92,100,GENERAL,25426,MAINTENANCE-SCOTTSDALESPORTSCOMPLEX,52322,"MAINTENANCE, MOWING                ",2018,4
10/25/2017 0:00,INTELLIQUICK DELIVERY                        ,1241.75,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,33.82,100,GENERAL,1030,CITY CLERK                         ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,12.36,100,GENERAL,1050,CIVIL DIVISION                     ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,111.04,100,GENERAL,1051,PROSECUTION                        ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,191.72,100,GENERAL,20600,CAPITAL PROJECT MANAGEMENT         ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,12.87,100,GENERAL,21001,PLANNING/NEIGHBORHOOD ADMIN        ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,1034.89,100,GENERAL,21220,PERMIT SERVICES - ONE STOP SHOP    ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,0.7,100,GENERAL,21500,WESTWORLD                          ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,2.11,100,GENERAL,22035,FIRE RESOURCE MANAGEMENT           ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,32.71,100,GENERAL,22425,CRIME LABORATORY                   ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,780.5,100,GENERAL,22611,RECORDS                            ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,175.71,100,GENERAL,23100,ACCOUNTING                         ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,12.52,100,GENERAL,23520,TAX AUDIT                          ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,313.76,100,GENERAL,23580,REMITTANCE PROCESSING/RECORDS MGT  ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,1.56,100,GENERAL,25307,COMMUNITY ASSISTANCE OFFICE        ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,8.54,100,GENERAL,25400,PARKS & RECREATION PLANNING & ADMIN,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,28.23,100,GENERAL,27400,HR ADMINISTRATION                  ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,0.87,200,TRANSPORTATION,20800,STREET OPERATIONS ADMINISTRATION   ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,48.23,220,CDBG,32398,17/18-CDBG ADMIN & PLANNING        ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,4.87,285,TOURISM DEVELOPMENT,21740,TOURISM DEVELOPMENT - BED TAX      ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,IRON MOUNTAIN                                ,31.32,600,WATER,29110,ENGINEERING/ADMIN - WATER          ,52279,FILMING/MICROFILMING/RECORDS RETENT,2018,4
10/25/2017 0:00,JARRETT EAST                                 ,96,100,GENERAL,25456,CLUB SAR FITNESS CENTER            ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,JOAN FUDALA                                  ,175,230,GRANTS,36200,WWI AND AMERICA *11/17             ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,JRM ENVIRONMENTAL INC                        ,450,100,GENERAL,20904,BUILDING MAINTENANCE AND REPAIR    ,52330,"MAINTENANCE, BUILDINGS & STRUCTURE ",2018,4
10/25/2017 0:00,K.R. SALINE & ASSOCIATES PLC                 ,458.75,600,WATER,29510,WATER EFFICIENCY GROUP             ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,K.R. SALINE & ASSOCIATES PLC                 ,458.75,603,WATER RECLAMATION,29515,WATER RECLAMATION EFFICIENCY GROUP ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,KAMAN INDUSTRIAL TECHNOLOGIES                ,24.67,100,GENERAL,20905,HVAC MAINTENANCE                   ,53790,"MAT TO MAINT & REPAIR MACH, EQUIP  ",2018,4
10/25/2017 0:00,KARY ENVIRONMENTAL SERVICES INC              ,739.3,650,SOLID WASTE MANAGEMENT,20552,FRONT LOAD SERVICE-COMM            ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,KENNETH MORRISON                             ,132.96,600,WATER,29530,UTILITIES MAINTENANCE - WATER      ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,4
10/25/2017 0:00,KIMLEY HORN AND ASSOCIATES INC               ,30726.24,410,CIP TRANSPORTATION PRIVILEGE TAX ,SC03B,MILLER RD UNDERAPASS AT 101 FWY    ,56047,DSGN - ENGINEERING SERVICES        ,2018,4
10/25/2017 0:00,KIMLEY HORN AND ASSOCIATES INC               ,23307.73,410,CIP TRANSPORTATION PRIVILEGE TAX ,TB56A,ITS/SIGNAL SYSTEM UPGRADES         ,56084,CONT - STREETS                     ,2018,4
10/25/2017 0:00,KIMLEY HORN AND ASSOCIATES INC               ,10637.6,410,CIP TRANSPORTATION PRIVILEGE TAX ,TC02A,WESTWORLD TRAIL CONNECTIONS        ,56047,DSGN - ENGINEERING SERVICES        ,2018,4
10/25/2017 0:00,KIMLEY HORN AND ASSOCIATES INC               ,481.18,602,CIP WATER,WB78B,MASTER PLAN - WATER                ,56057,DSGN - WATER - OTHER               ,2018,4
10/25/2017 0:00,KIMLEY HORN AND ASSOCIATES INC               ,481.18,605,CIP WATER RECLAMATION,VB70A,MASTER PLAN WATER RECLAMATION      ,56065,DSGN - WWATER - OTHER              ,2018,4
10/25/2017 0:00,LANGUAGE LINE SERVICES                       ,177.9,100,GENERAL,22612,COMMUNICATIONS                     ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,LEGEND TECHNICAL SERVICES OF ARIZONA INC     ,270,603,WATER RECLAMATION,29470,WATER RECLAMATION LABORATORY       ,52151,LABORATORY TESTING                 ,2018,4
10/25/2017 0:00,LEXISNEXIS RISK SOLUTIONS                    ,463.86,100,GENERAL,22434,CRIME ANALYSIS                     ,52890,OTHER CONTRACTUAL SERVICES         ,2018,4
10/25/2017 0:00,LOFTIN EQUIPMENT COMPANY INC                 ,278.17,100,GENERAL,20902,CONTRACT ADMINISTRATION            ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,LOFTIN EQUIPMENT COMPANY INC                 ,318.75,600,WATER,29275,BOOSTER STATIONS                   ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,LSW ENGINEERS ARIZONA INC                    ,4875,400,CIP GENERAL,YD01A,FACILITIES REPAIR AND MAINT PROGRM ,56082,CONT - BUILDINGS                   ,2018,4
10/25/2017 0:00,LSW ENGINEERS ARIZONA INC                    ,17947,400,CIP GENERAL,YE01A,FACILITIES RPR AND MAINT PGM       ,56082,CONT - BUILDINGS                   ,2018,4
10/25/2017 0:00,MARY ISAACSON                                ,727.5,100,GENERAL,25451,LEISURE EDUCATION PROGRAMS         ,52190,OTHER PROFESSIONAL SERVICES        ,2018,4
10/25/2017 0:00,MATHESON TRI GAS INC                         ,4.07,100,GENERAL,22425,CRIME LABORATORY                   ,52590,OTHER RENTALS                      ,2018,4
10/25/2017 0:00,MATHESON TRI GAS INC                         ,326.93,600,WATER,29460,WATER LABORATORY                   ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,4
10/25/2017 0:00,MICHAEL J VALENTE CONTRACTING                ,714.77,200,TRANSPORTATION,20840,ASPHALT & MAINTENANCE              ,52390,MISC MAINTENANCE AND REPAIR        ,2018,4
10/25/2017 0:00,MICHAEL J VALENTE CONTRACTING                ,51927,410,CIP TRANSPORTATION PRIVILEGE TAX ,YD29A,PAVEMENT OVERLAY PROGRAM *01/18    ,56084,CONT - STREETS                     ,2018,4
10/25/2017 0:00,MICHAEL J VALENTE CONTRACTING                ,1000.24,600,WATER,29201,WATER DISTRIBUTION                 ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,4
10/25/2017 0:00,NET TRANSCRIPTS INC                          ,1346.6,100,GENERAL,22429,PERSONS CRIMES                     ,52170,COURT REPORTERS/TRANSCRIPTION SERV ,2018,4
10/25/2017 0:00,OFFICIAL PAYMENTS CORPORATION                ,150,100,GENERAL,23580,REMITTANCE PROCESSING/RECORDS MGT  ,52350,SOFTWARE MAINT & LICENSING         ,2018,4
10/25/2017 0:00,PAVEMENT MARKING INC                         ,5556.96,445,2015 GO BOND Q4-STREET PAVEMT REHAB,TC06A,PAVEMENT REPLACEMENT               ,56084,CONT - STREETS                     ,2018,4
10/25/2017 0:00,PITNEY BOWES PRESORT SERVICES INC            ,1027.02,100,GENERAL,27230,MAIL *06/18                        ,52210,POSTAGE AND SHIPPING               ,2018,4
10/25/2017 0:00,PURETEC INDUSTRIAL WATER                     ,70.63,100,GENERAL,27501,NETWORK OPERATIONS                 ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,4
10/25/2017 0:00,RATNA KOREPELLA                              ,117.61,200,TRANSPORTATION,21110,TRANSIT OPERATIONS                 ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,4
10/25/2017 0:00,RED WING SHOE STORE                          ,124.61,600,WATER,29206,WATER METER GROUP                  ,53050,CLOTHING & PERSONAL PROTECT EQUIP  ,2018,4
10/25/2017 0:00,REDDENS MAGIC TOUCH INC                      ,849,100,GENERAL,22607,RESOURCE MANAGEMENT                ,52380,UNIFORM CLEANING                   ,2018,4
10/25/2017 0:00,RTW MANAGEMENT                               ,48286.13,200,TRANSPORTATION,21111,TROLLEY - MILLER ROUTE             ,52863,TROLLEY CONTRACTS                  ,2018,4
10/25/2017 0:00,RTW MANAGEMENT                               ,40134.26,200,TRANSPORTATION,21112,TROLLEY - DOWNTOWN ROUTE           ,52863,TROLLEY CONTRACTS                  ,2018,4
10/25/2017 0:00,RTW MANAGEMENT                               ,82341.89,200,TRANSPORTATION,21113,TROLLEY - NEIGHBORHOOD ROUTE       ,52863,TROLLEY CONTRACTS                  ,2018,4
